Età,Sesso,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Totale,3581,3412,3307,3198,3240,3069,2891,2818,2689,2570,2384,2479
1,Totale,3533,3621,3401,3300,3176,3230,3052,2882,2802,2677,2582,2413
2,Totale,3529,3567,3638,3412,3314,3167,3218,3035,2878,2802,2673,2625
3,Totale,3571,3552,3571,3639,3399,3316,3171,3202,3012,2863,2813,2740
4,Totale,3557,3575,3561,3573,3636,3396,3316,3161,3193,3005,2870,2872
5,Totale,3743,3593,3590,3564,3567,3632,3374,3321,3169,3195,3012,2932
6,Totale,3669,3775,3635,3615,3567,3554,3617,3372,3313,3163,3187,3037
7,Totale,3857,3686,3796,3628,3594,3558,3547,3619,3362,3313,3166,3225
8,Totale,3894,3863,3707,3793,3632,3585,3554,3541,3611,3359,3329,3225
9,Totale,3949,3933,3875,3712,3791,3615,3583,3551,3527,3589,3374,3366
10,Totale,4056,3967,3943,3869,3693,3783,3605,3575,3542,3518,3581,3407
11,Totale,4021,4076,3993,3953,3861,3690,3768,3584,3562,3541,3513,3628
12,Totale,3962,4066,4088,3991,3943,3851,3676,3754,3580,3553,3555,3532
13,Totale,4158,3992,4084,4093,3985,3928,3833,3678,3731,3571,3557,3590
14,Totale,4125,4183,4006,4074,4101,3971,3917,3831,3644,3708,3578,3609
15,Totale,4276,4146,4206,4013,4071,4107,3977,3913,3816,3635,3709,3621
16,Totale,4610,4312,4156,4213,4000,4071,4107,3968,3892,3816,3630,3738
17,Totale,4884,4625,4323,4144,4209,4009,4059,4108,3960,3893,3818,3667
18,Totale,4812,4931,4641,4339,4145,4202,4005,4076,4143,4007,3895,3827
19,Totale,4980,4853,4948,4648,4323,4149,4213,4003,4123,4160,4023,3894
20,Totale,4925,4985,4855,4941,4636,4308,4124,4197,4009,4095,4132,3975
21,Totale,4946,4935,4988,4839,4918,4620,4302,4111,4191,3997,4047,4066
22,Totale,5046,4952,4930,4992,4815,4889,4591,4278,4115,4173,3960,3978
23,Totale,4765,5062,4962,4933,4962,4787,4860,4587,4262,4115,4120,3894
24,Totale,5129,4758,5031,4911,4890,4920,4720,4806,4538,4231,4080,4019
25,Totale,5077,5107,4708,5007,4883,4826,4859,4669,4751,4488,4147,3943
26,Totale,5020,5048,5046,4683,4954,4814,4716,4790,4565,4696,4386,3989
27,Totale,5136,4970,5004,4986,4581,4930,4743,4669,4663,4467,4566,4183
28,Totale,5061,5089,4901,4933,4928,4496,4834,4660,4613,4543,4364,4386
29,Totale,5130,4988,5038,4815,4848,4895,4451,4764,4589,4496,4462,4220
30,Totale,5500,5095,4946,4949,4775,4755,4835,4413,4670,4534,4406,4281
31,Totale,5553,5443,5035,4877,4898,4716,4669,4742,4366,4612,4429,4275
32,Totale,5697,5503,5371,4995,4823,4848,4637,4610,4666,4345,4553,4329
33,Totale,5927,5644,5473,5322,4973,4765,4778,4593,4565,4606,4299,4436
34,Totale,6045,5909,5630,5430,5304,4907,4708,4737,4537,4523,4547,4208
35,Totale,6172,6033,5888,5593,5421,5262,4872,4669,4720,4526,4500,4438
36,Totale,5850,6205,6031,5863,5553,5370,5212,4829,4639,4701,4514,4451
37,Totale,5762,5872,6211,6013,5840,5530,5332,5170,4822,4627,4677,4441
38,Totale,5851,5779,5872,6206,5991,5804,5522,5280,5143,4800,4609,4637
39,Totale,5937,5869,5802,5848,6191,5938,5800,5506,5246,5114,4781,4554
40,Totale,5966,5991,5875,5799,5834,6170,5917,5783,5485,5222,5106,4764
41,Totale,6161,6024,5987,5862,5776,5820,6145,5904,5760,5486,5201,5090
42,Totale,6133,6220,6036,5984,5827,5769,5801,6130,5879,5717,5445,5141
43,Totale,6107,6173,6224,6022,5983,5823,5758,5798,6076,5878,5706,5436
44,Totale,6250,6147,6199,6229,5991,5968,5811,5749,5757,6037,5862,5689
45,Totale,6381,6273,6151,6213,6239,5987,5924,5796,5717,5736,6026,5831
46,Totale,6125,6404,6298,6143,6213,6221,5976,5895,5766,5692,5724,5979
47,Totale,5793,6156,6414,6280,6126,6225,6213,5961,5865,5747,5683,5707
48,Totale,5927,5819,6167,6395,6269,6102,6195,6185,5947,5847,5726,5636
49,Totale,5686,5938,5835,6145,6380,6244,6077,6172,6143,5913,5839,5702
50,Totale,5520,5693,5945,5837,6125,6361,6216,6055,6127,6105,5914,5792
51,Totale,5272,5545,5688,5927,5814,6105,6329,6200,6026,6108,6096,5892
52,Totale,5308,5287,5550,5685,5917,5772,6081,6322,6184,6004,6103,6052
53,Totale,5361,5324,5291,5529,5688,5889,5738,6064,6290,6158,5994,6057
54,Totale,5207,5371,5335,5271,5513,5639,5853,5716,6026,6265,6136,5963
55,Totale,4860,5216,5383,5317,5250,5490,5622,5832,5676,6002,6263,6069
56,Totale,4784,4861,5221,5359,5314,5219,5470,5578,5804,5647,6004,6222
57,Totale,4897,4785,4868,5189,5334,5276,5200,5447,5545,5776,5645,5951
58,Totale,5022,4905,4777,4846,5172,5319,5252,5167,5421,5510,5758,5598
59,Totale,5164,5024,4911,4750,4806,5138,5283,5212,5151,5380,5509,5700
60,Totale,5373,5156,4990,4875,4719,4780,5094,5244,5185,5134,5365,5453
61,Totale,5472,5379,5151,4948,4834,4685,4733,5054,5219,5151,5119,5316
62,Totale,5183,5474,5374,5115,4913,4811,4652,4706,5021,5174,5123,5072
63,Totale,5133,5182,5456,5337,5086,4869,4776,4624,4692,4991,5149,5079
64,Totale,4233,5132,5154,5407,5285,5050,4845,4741,4594,4648,4974,5119
65,Totale,4066,4215,5118,5121,5364,5229,4992,4805,4699,4555,4623,4936
66,Totale,4174,4063,4175,5066,5073,5323,5183,4939,4761,4652,4527,4591
67,Totale,4248,4126,4023,4135,5008,5023,5265,5103,4881,4711,4626,4489
68,Totale,3904,4214,4087,3963,4074,4946,4946,5186,5031,4829,4665,4617
69,Totale,4201,3871,4171,4034,3915,4016,4873,4874,5113,4966,4788,4648
70,Totale,4441,4146,3823,4117,3977,3846,3948,4807,4805,5050,4905,4767
71,Totale,4072,4368,4095,3757,4032,3912,3773,3881,4707,4717,4963,4882
72,Totale,3869,4000,4314,4013,3676,3953,3851,3714,3815,4627,4663,4933
73,Totale,3621,3806,3930,4209,3942,3595,3877,3768,3624,3750,4561,4624
74,Totale,3434,3543,3739,3817,4117,3866,3521,3792,3683,3562,3685,4516
75,Totale,3541,3344,3449,3648,3720,4021,3776,3445,3726,3581,3482,3634
76,Totale,3232,3464,3265,3356,3548,3634,3879,3681,3352,3623,3499,3426
77,Totale,3081,3144,3380,3151,3251,3442,3513,3759,3586,3244,3524,3431
78,Totale,3136,2970,3044,3253,3026,3133,3322,3399,3643,3469,3142,3427
79,Totale,3107,3026,2842,2937,3123,2925,3010,3188,3275,3502,3349,3048
80,Totale,2768,2960,2906,2713,2810,2993,2786,2890,3052,3143,3381,3224
81,Totale,2498,2621,2802,2770,2579,2686,2827,2667,2761,2892,3024,3262
82,Totale,2509,2366,2478,2635,2615,2420,2525,2667,2534,2628,2751,2895
83,Totale,2241,2348,2228,2332,2461,2463,2282,2388,2501,2362,2485,2588
84,Totale,1908,2064,2177,2077,2178,2290,2261,2121,2220,2320,2238,2307
85,Totale,1659,1744,1911,1992,1916,2000,2085,2083,1965,2037,2154,2073
86,Totale,1582,1505,1596,1733,1822,1752,1782,1894,1905,1787,1871,1950
87,Totale,1517,1435,1331,1415,1562,1646,1577,1598,1693,1712,1605,1688
88,Totale,1191,1337,1262,1163,1242,1392,1444,1380,1408,1509,1492,1434
89,Totale,977,1059,1132,1093,1013,1070,1193,1265,1165,1222,1317,1328
90,Totale,580,828,900,949,937,874,914,1039,1066,1007,1076,1142
91,Totale,371,483,713,762,776,786,714,773,869,907,858,905
92,Totale,288,312,403,577,639,656,657,594,636,706,759,708
93,Totale,297,232,262,314,460,503,521,530,459,510,556,604
94,Totale,251,228,196,191,246,350,374,424,402,376,401,437
95,Totale,171,198,177,156,148,197,246,274,326,310,294,298
96,Totale,160,130,163,120,112,118,143,182,193,241,254,225
97,Totale,85,115,103,113,87,82,78,104,131,152,179,179
98,Totale,72,62,86,77,80,67,51,58,67,91,105,128
99,Totale,35,50,50,52,46,54,42,36,34,55,56,76
100 e oltre,Totale,63,71,86,78,80,80,72,71,77,57,79,86
Totale,Totale,403964,404901,404888,403260,401494,399338,396312,393786,390740,387817,385235,381946